Dataset,Z-Time_total,Z-Time_train,Z-Time_test,XEM_total,XEM_train,XEM_test,MR-PETSC_total,MR-PETSC_train,MR-PETSC_test,Arsenal_total,Arsenal_train,Arsenal_test,Rocket_total,Rocket_train,Rocket_test,CIF_total,CIF_train,CIF_test,DrCIF_total,DrCIF_train,DrCIF_test
ArticularyWordRecognition,256.98,128.77,128.21,417721.35,416969.45,751.9,142.13,94.9,47.23,183.34,90.93,92.41,55.38,35.13,20.25,697.98,662.28,35.7,990.45,959.96,30.49
AtrialFibrillation,4.19,2.11,2.08,8572.21,8554.21,18,17.89,13.26,4.63,19.8,10.17,9.63,5.52,3.63,1.89,44.87,43.81,1.06,69.14,68.15,0.99
BasicMotions,19.31,9.80,9.51,2827.37,2752.16,75.21,20.16,16.29,3.87,17.33,9.56,7.77,4.32,2.83,1.49,54.38,52.51,1.87,83.47,82.28,1.19
Cricket,183.16,109.88,73.28,,,,594.2,411.48,182.72,401.2,243.36,157.84,125.45,92.77,32.68,730.92,720.78,10.14,891.17,881.8,9.37
DuckDuckGeese,19065.47,9595.65,9469.82,,,,,,,392.51,212.83,179.68,389.94,216.22,173.72,2246.12,2101.87,144.25,2515.27,2375.06,140.21
EigenWorms,3575.85,1748.23,1827.62,,,,,,,9598.22,4767.06,4831.16,3000.75,1937.2,1063.55,27274.5,27097.93,176.57,40144.79,39973.71,171.08
Epilepsy,36.1,18.93,17.17,18021.13,17974.28,46.85,33.58,22.82,10.76,71.23,35.89,35.34,20.08,13.19,6.89,188.4,179.28,9.12,283.8,276.94,6.86
ERing,5.37,0.69,4.68,589.83,587.59,2.24,17.93,10.02,7.91,29.78,4.73,25.05,6.32,1.3,5.02,48.25,31.37,16.88,71.22,58.39,12.83
EthanolConcentration,96.16,46.32,49.84,,,,1932.16,1078.15,854.01,1143.29,571.17,572.12,332.61,218.08,114.53,1776.02,1717.63,58.39,2251.37,2201.59,49.78
FaceDetection,45779.95,36724.68,9055.27,,,,,,,2674.47,1915.47,759,1203.78,849.66,354.12,34329.41,33135.38,1194.03,38443.97,37350.95,1093.02
FingerMovements,389.33,300.76,88.57,23837.51,23785.07,52.44,67.35,55.73,11.62,54.36,41.57,12.79,21,17.71,3.29,802.18,784.9,17.28,971.07,956.88,14.19
HandMovementDirection,306.69,214.35,92.34,,,,249.25,195.11,54.14,214.23,146.66,67.57,73.26,58.65,14.61,725.58,712.84,12.74,985.33,973.97,11.36
Handwriting,46.97,8.44,38.53,105423.11,105222.81,200.3,75.31,23.63,51.68,183.05,29.73,153.32,41.98,10.82,31.16,423.09,300.75,122.34,623.13,526.85,96.28
Heartbeat,4485.9,2179.25,2306.65,,,,,,,457.97,230.64,227.33,187.37,113.38,73.99,2232.69,2169.5,63.19,2373.59,2309.45,64.14
Libras,2.38,1.58,0.80,3534.24,3412.31,121.93,11.52,9.46,2.06,19.13,10.48,8.65,4.9,3.26,1.64,178.87,156.57,22.3,359.49,332.83,26.66
LSST,658.91,400.55,258.36,164928.23,162009,2919.23,115.21,78.73,36.48,352.16,201.08,151.08,98.59,65.57,33.02,3816.69,2969.53,847.16,7295.02,6462.16,832.86
MotorImagery,11920.22,8711.30,3208.92,,,,,,,3310.25,2450.08,860.17,1956.85,1620.61,336.24,14934.91,14777.12,157.79,15839.73,15688.76,150.97
NATOPS,223.09,118.33,104.76,34172.38,33772.56,399.82,74.54,60.1,14.44,46.84,24.65,22.19,15.59,9.96,5.63,515.13,489.66,25.47,523.3,507.57,15.73
PEMS-SF,152832,95672.83,57159.17,,,,,,,697,444.06,252.94,597.87,387.65,210.22,5786.76,5587.34,199.42,6434.77,6234.42,200.35
PenDigits,82.07,71.32,10.75,9593.92,9490.31,103.61,47.25,36.52,10.73,491.98,454.31,37.67,72.81,64.06,8.75,3173.58,2515.11,658.47,6471.19,6088.86,382.33
PhonemeSpectra,7393.84,4798.60,2595.24,,,,3197.53,2006.13,1191.4,3664.25,1787.6,1876.65,1049.76,681.41,368.35,17812.34,16875.99,936.35,20842.06,20078.78,763.28
RacketSports,29.93,15.19,14.74,1472.62,1432.12,40.5,16.42,13.9,2.52,25.54,13.15,12.39,5.25,3.53,1.72,136.47,120.98,15.49,236.39,223.11,13.28
SelfRegulationSCP1,598.79,313.35,285.44,,,,1512.39,800.05,712.34,1095,509.57,585.43,272.49,172.8,99.69,1456.25,1411.28,44.97,1622.9,1588.26,34.64
SelfRegulationSCP2,714.65,371.33,343.32,,,,1873.22,1115.88,757.34,983.16,480.42,502.74,267.14,180.79,86.35,1489.96,1447.93,42.03,1748.59,1711.61,36.98
StandWalkJump,19.93,8.56,11.37,192048.23,188168.86,3879.37,137.02,83.62,53.4,121.27,54.87,66.4,28.76,17.41,11.35,153.14,151.1,2.04,183.98,182.09,1.89
UWaveGestureLibrary,12.35,3.54,8.81,158438.74,158137.71,301.03,119.27,50.82,68.45,202.08,57.1,144.98,42.5,17.89,24.61,275.19,243.24,31.95,379.09,355.11,23.98
